Atomic Number,Element,Multiplicity,Term Symbol,ΔfH°gas,StdErr,Reference,CBS-QB3,CBS-QB3 correction,CBS-APNO,CBS-APNO correction,CBS-4M,CBS-4M correction,G1,G1 correction,G2,G2 correction,G2MP2,G2MP2 correction,G3,G3 correction,G3MP2,G3MP2 correction,G3B3,G3B3 correction,G3MP2B3,G3MP2B3 correction,G4,G4 correction,G4MP2,G4MP2 correction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
